"﻿縣市別","村里","納稅單位(戶)","合計","營利所得","執行業務所得","薪資所得","利息所得","租賃及權利金","財產交易所得","機會中獎所得","股利所得","退職所得","其他所得","稿費所得","申報大於歸戶","薪資收入","稿費收入"
"新北市中和區","秀仁里","1045","1035695","17815","20602","794027","37510","11099","5529","1774","123791","18","21597","220","1711","1044202","2447"
"新北市中和區","忠孝里","1324","906689","17142","24513","684118","26948","13246","3158","1851","118835","368","12496","185","3828","980881","1694"
"新北市中和區","民享里","702","473944","6577","12386","372562","15536","5911","1280","839","53502","0","4810","343","199","534548","1133"
"新北市中和區","民生里","1281","1083389","12302","19158","860575","31652","13632","851","2022","121264","4491","14181","0","3262","1167175","444"
"新北市中和區","國光里","1208","898822","18722","18045","715462","28655","10088","1623","1668","90233","658","12381","56","1231","997703","1275"
"新北市中和區","福和里","1124","823433","15173","15752","599166","32725","15137","1381","1513","129405","0","10604","681","1896","840938","1977"
"新北市中和區","秀成里","1136","987578","11665","23742","692342","44131","11125","2416","1596","161193","2166","20613","365","16224","949816","2436"
"新北市中和區","秀福里","1632","1437699","13846","46295","1018759","51814","29949","2736","2023","245323","2782","19421","650","4100","1373675","3334"
"新北市中和區","華新里","2519","1982746","26361","34550","1641323","46381","18398","8744","3955","163457","99","32902","1311","5264","2262537","5517"
"新北市中和區","壽南里","774","613400","14543","18196","431728","20682","18554","1216","1158","86147","8469","10507","0","2203","599098","759"
"新北市中和區","文元里","1524","1010511","23913","27596","736223","40568","14954","1617","1870","150027","221","11514","309","1700","1067691","1562"
"新北市中和區","明德里","1100","721453","12803","18470","576388","20692","6758","1366","1437","70464","56","11917","198","904","828277","839"
"新北市中和區","信和里","1143","756061","8811","18970","580373","27420","16431","1492","1339","87365","1066","9930","0","2865","838335","495"
"新北市中和區","福祥里","1536","1208907","21229","27303","901540","41441","27233","1744","3423","155839","1561","21102","1112","5380","1242953","3876"
"新北市中和區","景文里","1425","1649939","7628","39404","1247232","48615","24368","9286","2173","221291","4175","31210","467","14088","1575648","3037"
"新北市中和區","錦昌里","745","819914","6635","29780","583208","27223","14217","5366","1057","117397","0","32260","441","2331","753829","2195"
"新北市中和區","民安里","1582","1199840","15534","23476","937878","38154","28348","3339","2672","122174","2141","22662","92","3370","1312859","1435"
"新北市中和區","安穗里","1440","1174597","21656","34230","875393","40991","23631","4406","2694","142696","2015","22455","23","4405","1216769","700"
"新北市中和區","明穗里","1396","1141781","18667","29836","876454","35352","13203","1570","1624","137508","134","20281","32","7121","1201667","1144"
"新北市中和區","自強里","1493","1037562","16444","17655","823372","31777","8092","1606","1777","122286","1011","12434","566","543","1170923","1933"
"新北市中和區","正行里","1001","895493","13907","20111","704615","25373","6571","1609","1733","104627","2010","10218","924","3793","945924","2769"
"新北市中和區","德行里","2396","2645097","16766","65217","2002609","80953","39664","6112","5177","332797","9194","65942","2261","18405","2582666","8873"
"新北市中和區","安順里","1503","1427115","10097","21245","1038628","54819","32662","1989","2177","220936","14934","24405","77","5147","1358892","1902"
"新北市中和區","宜安里","642","608711","2891","10705","436871","27899","9084","1239","1240","102812","807","12374","717","2074","577947","2230"
"新北市中和區","秀義里","862","762345","6982","17651","571261","28107","15548","3766","1400","100995","989","14058","221","1367","768871","1624"
"新北市中和區","秀士里","751","719902","7701","36230","475720","23573","6677","2414","1161","149816","4703","8734","0","3173","639483","671"
"新北市中和區","興南里","868","638540","14261","9845","440066","25490","35960","1557","1170","89963","981","16047","160","3040","618052","958"
"新北市中和區","景本里","596","435463","9989","8834","301950","25411","13367","1261","498","65346","0","7397","0","1410","426142","164"
"新北市中和區","中興里","2379","2337244","16436","62063","1805494","82915","33136","4968","3959","275911","4209","39492","634","8028","2359655","4693"
"新北市中和區","吉興里","1048","1051771","12435","18135","818255","37099","15852","1252","2062","107523","1250","26468","171","11269","1056332","1359"
"新北市中和區","福南里","1253","906089","12860","18988","718419","30068","10038","1058","1705","90069","1534","16309","290","4752","1004560","1833"
"新北市中和區","正南里","915","592126","7041","15925","454254","20364","15450","758","1266","57712","5022","10472","362","3500","651750","1302"
"新北市中和區","錦盛里","1129","692627","14003","14588","546170","21230","4832","675","1275","75366","347","10231","0","3911","798068","718"
"新北市中和區","中山里","812","623882","8408","20561","470023","20713","23047","5509","1021","62239","2190","8507","117","1546","659626","915"
"新北市中和區","冠穗里","1038","808357","11257","18377","613670","27221","13317","4551","2012","95727","4042","16344","18","1821","841466","1128"
"新北市中和區","嘉慶里","1172","810235","18373","15388","634120","25088","21009","492","2111","79836","0","10565","16","3236","910289","571"
"新北市中和區","錦中里","1217","939093","19508","17277","707430","31085","22490","726","2638","119563","93","13341","855","4087","987185","3308"
"新北市中和區","員富里","1155","947110","15151","25506","678409","20769","16454","4629","1746","162676","519","16359","10","4882","952166","1172"
"新北市中和區","民有里","791","547070","6670","13424","407395","18100","7866","953","1163","77972","402","10287","505","2334","586142","1286"
"新北市中和區","碧河里","1867","2046635","37901","43126","1488643","63144","57036","5717","2858","287873","323","47749","118","12146","1931993","1534"
"新北市中和區","國華里","1025","764837","18091","13910","599611","21926","6703","4089","1445","81925","106","13149","273","3607","835090","1358"
"新北市中和區","其他","6","5728","0","35","4729","103","0","185","9","626","0","28","0","12","5766","0"
"新北市中和區","合計","129163","113433009","1560810","2557154","83467209","3908018","2243668","412091","205118","16012831","225452","2159022","48749","632887","112677358","230929"
"新北市土城區","埤塘里","1109","721250","14852","23091","527872","20316","24505","6907","1670","86201","172","13597","0","2068","783153","744"
"新北市土城區","土城里","599","459966","5068","10733","331904","17197","13375","1005","757","73549","0","5329","0","1052","464472","421"
"新北市土城區","員林里","3064","3307873","33990","74348","2414583","89023","63795","12702","7274","521626","745","80922","417","8448","3168751","3145"
"新北市土城區","貨饒里","1605","1477195","30087","40206","1109727","41579","37760","6922","2899","168218","254","32067","101","7376","1478106","1733"
"新北市土城區","柑林里","1398","1376470","18561","25795","1070899","35268","16071","7286","2486","169790","1219","25516","56","3524","1426663","1136"
"新北市土城區","埤林里","2831","2460655","34994","49516","1862808","66217","39699","3829","4436","347761","10262","36082","686","4366","2522569","3844"
"新北市土城區","峯廷里","2019","1167779","39903","23374","927958","29406","15713","1352","2735","113558","4","12265","0","1512","1394253","946"
